Date,4046,4225,4770,Bags,Total Volume,Average Price,Year,Month,MonthYear
2014-01-05,10535645,13905103,510274,2810386,27761408,1.01,2014,Jan,2014-01
2014-01-12,9647200,11187901,435843,2714754,23985698,1.07,2014,Jan,2014-01
2014-01-19,11227324,11576636,479435,3599827,26883222,1.05,2014,Jan,2014-01
2014-01-26,10750805,11138454,418538,3317537,25625334,1.08,2014,Jan,2014-01
2014-02-02,16680906,17812656,896612,4820392,40210566,0.91,2014,Feb,2014-02
2014-02-09,11565507,13570190,540334,4040876,29716907,0.98,2014,Feb,2014-02
2014-02-16,11175169,9815919,499487,3790833,25281408,1.04,2014,Feb,2014-02
2014-02-23,10733855,11500875,863428,3673241,26771399,1.06,2014,Feb,2014-02
2014-03-02,11987727,12481378,541091,4324201,29334397,1.02,2014,Mar,2014-03
2014-03-09,11136676,11558633,578794,4030439,27304542,1.06,2014,Mar,2014-03
2014-03-16,11770793,10967927,601134,3962902,27302756,1.08,2014,Mar,2014-03
2014-03-23,10788705,11063903,576456,4219106,26648170,1.11,2014,Mar,2014-03
2014-03-30,12048233,12272006,729653,4174540,29224432,1.07,2014,Mar,2014-03
2014-04-06,12106946,11453032,721892,4623160,28905030,1.09,2014,Apr,2014-04
2014-04-13,11777708,10685753,556225,4335155,27354841,1.12,2014,Apr,2014-04
2014-04-20,10971268,10617379,599162,4604659,26792468,1.17,2014,Apr,2014-04
2014-04-27,10727417,9259539,583446,4104497,24674899,1.18,2014,Apr,2014-04
2014-05-04,15318221,12857961,944724,5142529,34263435,1.07,2014,May,2014-05
2014-05-11,12418020,11859975,654968,4481150,29414113,1.15,2014,May,2014-05
2014-05-18,11322287,9528753,593863,4364816,25809719,1.21,2014,May,2014-05
2014-05-25,12391078,11034088,680882,4770729,28876777,1.19,2014,May,2014-05
2014-06-01,11376264,10836647,694915,4597898,27505724,1.2,2014,Jun,2014-06
2014-06-08,12483169,11013008,699515,4920241,29115933,1.16,2014,Jun,2014-06
2014-06-15,12829231,11010187,784955,4785397,29409770,1.16,2014,Jun,2014-06
2014-06-22,12269591,11563597,957457,4802425,29593070,1.13,2014,Jun,2014-06
2014-06-29,11296357,10399776,1067197,4605035,27368365,1.18,2014,Jun,2014-06
2014-07-06,13097711,11610338,1482392,5036400,31226841,1.18,2014,Jul,2014-07
2014-07-13,10271670,9461638,1283915,4115605,25132828,1.22,2014,Jul,2014-07
2014-07-20,9482411,9750958,1168562,4006747,24408678,1.19,2014,Jul,2014-07
2014-07-27,9182791,9785234,906819,3976659,23851503,1.19,2014,Jul,2014-07
2014-08-03,8949992,11384479,899605,4036963,25271039,1.16,2014,Aug,2014-08
2014-08-10,9139474,11227121,861686,4077818,25306099,1.16,2014,Aug,2014-08
2014-08-17,9175287,8904390,596982,3571011,22247670,1.15,2014,Aug,2014-08
2014-08-24,8609152,9908304,595206,3353536,22466198,1.14,2014,Aug,2014-08
2014-08-31,9992502,9884838,774853,3744896,24397089,1.11,2014,Aug,2014-08
2014-09-07,8710459,9843712,487375,3898893,22940439,1.16,2014,Sep,2014-09
2014-09-14,9307435,10575193,767080,3901829,24551537,1.14,2014,Sep,2014-09
2014-09-21,8585846,10691334,684317,3816897,23778394,1.11,2014,Sep,2014-09
2014-09-28,8399928,10335989,703320,3796096,23235333,1.12,2014,Sep,2014-09
2014-10-05,9078536,10738816,607552,4019472,24444376,1.1,2014,Oct,2014-10
2014-10-12,9066632,11271526,711801,0,21049959,1.09,2014,Oct,2014-10
2014-10-19,10104281,10808796,629477,0,21542554,1.05,2014,Oct,2014-10
2014-10-26,8893025,10496629,568041,0,19957695,1.07,2014,Oct,2014-10
2015-12-27,9626901.09,10197890.05,1184340.09,6288852.44,27297983.67,0.95,2015,Dec,2015-12
2015-12-20,8710021.76,9329861.85,1201020.01,5842743.55,25083647.17,0.98,2015,Dec,2015-12
2015-12-13,9855053.66,10805838.91,1016163.17,6364279.64,28041335.38,0.93,2015,Dec,2015-12
2015-12-06,9405464.36,12160838.62,931830.63,6302262.96,28800396.57,0.89,2015,Dec,2015-12
2015-11-29,8094803.56,9003178.41,731008.41,4789009,22617999.38,0.99,2015,Nov,2015-11
2015-11-22,8571849.8,10389879.59,804662.83,5347835.89,25114228.11,0.96,2015,Nov,2015-11
2015-11-15,9907981.27,11699787.51,815641.54,6174345.95,28597756.27,0.92,2015,Nov,2015-11
2015-11-08,9991330.31,12199657.4,1143214.59,5151513.67,28485715.97,0.97,2015,Nov,2015-11
2015-11-01,10138703.85,14229286.82,1410928.18,5268565.42,31047484.27,0.97,2015,Nov,2015-11
2015-10-25,8683958.8,11410478.34,1188118.95,4957516.02,26240072.11,1.04,2015,Oct,2015-10
2015-10-18,9162094.14,14082539.61,1220251.19,4910238.66,29375123.6,0.99,2015,Oct,2015-10
2015-10-11,8828340.53,13326573.45,1614282.73,5447001.44,29216198.15,1,2015,Oct,2015-10
2015-10-04,8353619.97,13775651.69,1209045.07,4905188.79,28243505.52,1.02,2015,Oct,2015-10
2015-09-27,8454208.8,13819912.63,1061979.37,4417407.34,27753508.14,1.03,2015,Sep,2015-09
2015-09-20,9422275.27,13846044.56,1112405.42,5188361.31,29569086.56,1.02,2015,Sep,2015-09
2015-09-13,9875018.48,14888077.69,1118988.92,5363750.56,31245835.65,1.03,2015,Sep,2015-09
2015-09-06,12569277.14,14245598.38,1129771.19,5581833.37,33526480.08,1.02,2015,Sep,2015-09
2015-08-30,11650976.87,11995960.83,1060352.53,5054348.25,29761638.48,1.07,2015,Aug,2015-08
2015-08-23,11283021.31,12551529.7,909284.22,4956010.38,29699845.61,1.08,2015,Aug,2015-08
2015-08-16,12680252.48,12998327.25,1143364.58,5114911.87,31936856.18,1.05,2015,Aug,2015-08
2015-08-09,13003371.07,13926692.62,1014520.88,5310327.3,33254911.87,1.05,2015,Aug,2015-08
2015-08-02,12115233.76,12219014.12,984702.75,5039517.25,30358467.88,1.09,2015,Aug,2015-08
2015-07-26,12196225.93,12009228.05,1017157.74,5429599.36,30652211.08,1.07,2015,Jul,2015-07
2015-07-19,12742760.17,12605457.17,1154897.34,5821532.98,32324647.66,1.07,2015,Jul,2015-07
2015-07-12,12384449.4,12403360.2,980361.75,5891860.33,31660031.68,1.07,2015,Jul,2015-07
2015-07-05,15643939.37,14213650.06,1342465.95,6743614.96,37943670.34,1.04,2015,Jul,2015-07
2015-06-28,13299568.71,11505999.24,1045832.54,6557305.21,32408705.7,1.06,2015,Jun,2015-06
2015-06-21,14699604.93,13244466.6,1326422.56,6464119.81,35734613.9,1.02,2015,Jun,2015-06
2015-06-14,16383685.07,12821015.03,1085081.61,6736304.04,37026085.75,0.98,2015,Jun,2015-06
2015-06-07,16529797.6,12582265.21,1144715.95,6293216.9,36549995.66,1,2015,Jun,2015-06
2015-05-31,15503613.33,11599634.02,903908.35,5713003.39,33720159.09,1.03,2015,May,2015-05
2015-05-24,16000107.8,12513821.19,899779.92,5930474.24,35344183.15,1.04,2015,May,2015-05
2015-05-17,14615941.59,11003341.22,963549.53,5444853.81,32027686.15,1.06,2015,May,2015-05
2015-05-10,16215328.75,13509064.65,858145.45,5818347.73,36400886.58,1.02,2015,May,2015-05
2015-05-03,17787611.93,16602589.04,1118329.5,5783173.92,41291704.39,0.96,2015,May,2015-05
2015-04-26,13833715.28,10867403.08,889732.2,5303307.24,30894157.8,1.07,2015,Apr,2015-04
2015-04-19,14251319.31,12277858.78,1016631.26,5545446.91,33091256.26,1.03,2015,Apr,2015-04
2015-04-12,14793354.18,11210544.11,807942.41,5234560.94,32046401.64,1.02,2015,Apr,2015-04
2015-04-05,13939014.43,11526980.36,871981.29,5162693.36,31500669.44,1.06,2015,Apr,2015-04
2015-03-29,12524637.04,11541041.35,811272.88,5105697.16,29982648.43,1.04,2015,Mar,2015-03
2015-03-22,13697405.61,12659784.83,1066385.92,5089974.15,32513550.51,1.01,2015,Mar,2015-03
2015-03-15,13149988.71,10634070.76,871575.04,4916591.2,29572225.71,1.04,2015,Mar,2015-03
2015-03-08,13013750.35,10973972.6,834009.15,5272966.75,30094698.85,1.02,2015,Mar,2015-03
2015-03-01,13282222.98,13733124.48,1070576.07,4908090.63,32994014.16,0.97,2015,Mar,2015-03
2015-02-22,12628562.36,11354281.64,937138.85,5016746.91,29936729.76,1.02,2015,Feb,2015-02
2015-02-15,12626615.3,9783489.59,845653.52,4756762.52,28012520.93,1.03,2015,Feb,2015-02
2015-02-08,13308193.4,13381347.54,737939.45,4709852.62,32137333.01,0.95,2015,Feb,2015-02
2015-02-01,18933038.04,18956479.74,1381516.11,5384427.62,44655461.51,0.89,2015,Feb,2015-02
2015-01-25,12167445.03,10734652.82,768020.05,4800192.94,28470310.84,1.04,2015,Jan,2015-01
2015-01-18,11858139.34,11701947.8,831301.9,4652069.81,29043458.85,1.03,2015,Jan,2015-01
2015-01-11,11544810.53,12134773.38,866574.66,4517384.18,29063542.75,1.01,2015,Jan,2015-01
2015-01-04,12357161.34,13624083.05,844093.32,4498940.02,31324277.73,0.95,2015,Jan,2015-01
2016-12-25,9255125.2,10282925.61,541972.42,10207830.47,30287853.7,1,2016,Dec,2016-12
2016-12-18,9394065.91,10339168.2,427872.42,9422776.08,29583882.61,0.96,2016,Dec,2016-12
2016-12-11,9009996.11,9967220.02,403047.93,10713276.64,30093540.7,0.98,2016,Dec,2016-12
2016-12-04,11043350.9,9908982.97,428009.84,10240878.19,31621221.9,1,2016,Dec,2016-12
2016-11-27,7891487.94,7337341.77,344475.9,7349757.04,22923062.65,1.21,2016,Nov,2016-11
2016-11-20,8531160.52,8033510.82,407567.78,8017463.63,24989702.75,1.27,2016,Nov,2016-11
2016-11-13,8235135.43,7759608.21,477520.95,7602861.9,24075126.49,1.36,2016,Nov,2016-11
2016-11-06,7804252.91,7126936.31,505349.44,7098159.72,22534698.38,1.44,2016,Nov,2016-11
2016-10-30,7100458.82,6852046.35,453145.26,6604079.78,21009730.21,1.43,2016,Oct,2016-10
2016-10-23,7579629.06,8104522.26,452383.96,8616978.67,24753513.95,1.34,2016,Oct,2016-10
2016-10-16,8810664.45,8855072.75,447291.48,9594018.14,27707046.82,1.3,2016,Oct,2016-10
2016-10-09,9552502.48,9579338.98,490956.88,9234783.64,28857581.98,1.27,2016,Oct,2016-10
2016-10-02,9534915.56,9123897.74,490123.01,10466072.18,29615008.49,1.23,2016,Oct,2016-10
2016-09-25,10548061.13,9255913.78,492604.3,10008533.68,30305112.89,1.22,2016,Sep,2016-09
2016-09-18,11337829.1,9481313.14,486187.39,10040761.83,31346091.46,1.15,2016,Sep,2016-09
2016-09-11,12962762.94,10380438.09,512160.27,10271369.65,34126730.95,1.08,2016,Sep,2016-09
2016-09-04,14643465.52,11083513.46,540680.89,10863029.04,37130688.91,1.04,2016,Sep,2016-09
2016-08-28,12561055.5,10420973,563738.54,10448164.27,33993931.31,1.09,2016,Aug,2016-08
2016-08-21,12725249.3,9906498.51,609720.87,10350629.04,33592097.72,1.1,2016,Aug,2016-08
2016-08-14,12352932.68,10879341.61,749247.02,10404655.99,34386177.3,1.12,2016,Aug,2016-08
2016-08-07,12197105.36,10731379.56,754548.53,10136875.64,33819909.09,1.15,2016,Aug,2016-08
2016-07-31,10168972.37,10423957.83,783937.09,9824722.93,31201590.22,1.23,2016,Jul,2016-07
2016-07-24,10331314.28,10795751.15,947964.05,10264347.61,32339377.09,1.2,2016,Jul,2016-07
2016-07-17,10320463.27,10628872.6,953631.47,10753156.29,32656123.63,1.15,2016,Jul,2016-07
2016-07-10,11457080.38,11677528,1266433.97,11166526.08,35567568.43,1.1,2016,Jul,2016-07
2016-07-03,12508937.27,13315901.42,1761343.08,12407004.27,39993186.04,1.06,2016,Jul,2016-07
2016-06-26,12189035.17,12029918.6,1624942.43,10773127.59,36617023.79,1.04,2016,Jun,2016-06
2016-06-19,13488851.61,12842698.33,1642735.63,10515650.57,38489936.14,1.02,2016,Jun,2016-06
2016-06-12,12291686.69,11533969.83,1607344.08,10147819.4,35580820,1.04,2016,Jun,2016-06
2016-06-05,13808859.16,13396651.73,1770948.09,11254800.67,40231259.65,0.97,2016,Jun,2016-06
2016-05-29,13682611.21,13829591.06,1583495.93,10923377.04,40019075.24,0.94,2016,May,2016-05
2016-05-22,11711999.81,12981224.42,1640829.4,10623981.88,36958035.51,0.93,2016,May,2016-05
2016-05-15,12447598.49,14437190.03,1753852.61,11276355.61,39914996.74,0.89,2016,May,2016-05
2016-05-08,14223304.98,17896391.6,1993645.36,12211187.76,46324529.7,0.82,2016,May,2016-05
2016-05-01,13748944.38,15899858.37,1414364.49,11804441.3,42867608.54,0.84,2016,May,2016-05
2016-04-24,12913697.19,14382184.8,1599863.98,10711949.33,39607695.3,0.87,2016,Apr,2016-04
2016-04-17,11954487.56,12896366.58,1896149.5,10720881.55,37467885.19,0.9,2016,Apr,2016-04
2016-04-10,12879820.47,11538132.36,1666275.13,10499801.43,36584029.39,0.9,2016,Apr,2016-04
2016-04-03,11320969.79,11512621.85,1731910.48,9102948.43,33668450.55,0.94,2016,Apr,2016-04
2016-03-27,11249198.4,12745266.73,1880231.38,10055499.41,35930195.92,0.94,2016,Mar,2016-03
2016-03-20,11134390.98,13727453.57,1773088.87,9700550.36,36335483.78,0.93,2016,Mar,2016-03
2016-03-13,11661687.44,13104887.66,1800065.57,9807875.47,36374516.14,0.93,2016,Mar,2016-03
2016-03-06,11824154.63,12196587.24,1686475.33,9357288.84,35064506.04,0.95,2016,Mar,2016-03
2016-02-28,11907394.72,13210854.56,1560167.75,10123400.65,36801817.68,0.91,2016,Feb,2016-02
2016-02-21,10015825.13,12003751.56,1375260.47,9409896.06,32804733.22,0.94,2016,Feb,2016-02
2016-02-14,11913078.3,13187973.29,1811090.71,9564299.56,36476441.86,0.88,2016,Feb,2016-02
2016-02-07,16573573.78,20470572.61,2546439.11,12698112.39,52288697.89,0.76,2016,Feb,2016-02
2016-01-31,11098088.49,13278053.61,1643703.17,8701404.65,34721249.92,0.93,2016,Jan,2016-01
2016-01-24,7020459,14054367.5,1440380.36,10271872.35,32787079.21,0.95,2016,Jan,2016-01
2016-01-17,10036597.84,13832256.04,1419405.62,9138082.37,34426341.87,0.94,2016,Jan,2016-01
2016-01-10,11441286.89,13226088.66,1282612.91,9314347.55,35264336.01,0.93,2016,Jan,2016-01
2016-01-03,11616506.17,16054083.86,1560068.62,8911429.39,38142088.04,0.86,2016,Jan,2016-01
2017-12-31,13109617.49,13197460.59,644837.54,11315425.99,38267341.61,0.98,2017,Dec,2017-12
2017-12-24,10027319.18,8964247.34,546373.81,9564409,29102349.33,1.18,2017,Dec,2017-12
2017-12-17,10704214.26,9934618.43,574089.32,9544845.02,30757767.03,1.07,2017,Dec,2017-12
2017-12-10,11943914.54,11659897.51,398348.55,11632752.41,35634913.01,1.03,2017,Dec,2017-12
2017-12-03,11746980,10905968,583801,10587491,33824253,1.09,2017,Dec,2017-12
2017-11-26,9175316,7312239,379637,7819483,24686675,1.24,2017,Nov,2017-11
2017-11-19,11173132,7847059,416186,9817108,29253484,1.17,2017,Nov,2017-11
2017-11-12,11512837,9994648,416643,10412097,32336225,1.15,2017,Nov,2017-11
2017-11-05,11042128.27,9774987.75,400250.97,10834227.25,32051594.24,1.19,2017,Nov,2017-11
2017-10-29,10596902.91,9803569.58,424755.66,9412683.08,30237911.23,1.29,2017,Oct,2017-10
2017-10-22,9607586.96,8761192.74,409598.47,7928593.34,26706971.51,1.44,2017,Oct,2017-10
2017-10-15,8769357.86,8534404.17,392119.12,7335707.94,25031589.09,1.58,2017,Oct,2017-10
2017-10-08,8911144.2,7609509.9,391832.89,7484679.2,24397166.19,1.65,2017,Oct,2017-10
2017-10-01,8342407.59,8354516.32,384794.18,7528927.12,24610645.21,1.64,2017,Oct,2017-10
2017-09-24,8652381.39,8295761.93,385004.72,7304000.34,24637148.38,1.62,2017,Sep,2017-09
2017-09-17,9153158.54,8328241.87,417270.7,7496231.71,25394902.82,1.57,2017,Sep,2017-09
2017-09-10,9496485.27,8373234.08,487926.52,8027435.49,26385081.36,1.56,2017,Sep,2017-09
2017-09-03,9775062.87,8565265.61,541902.88,7926179.29,26808410.65,1.57,2017,Sep,2017-09
2017-08-27,10735709.61,8587105.6,517541.94,8944922.6,28785279.75,1.47,2017,Aug,2017-08
2017-08-20,10507928.78,8837219.28,581074.35,9987521.96,29913744.37,1.41,2017,Aug,2017-08
2017-08-13,10952703.84,11154310.29,624963.41,10085276.59,32817254.13,1.33,2017,Aug,2017-08
2017-08-06,11292580.44,10988313.58,665312.55,9583713.66,32529920.23,1.33,2017,Aug,2017-08
2017-07-30,11112191.11,11088082.78,596676.12,8959147.21,31756097.22,1.32,2017,Jul,2017-07
2017-07-23,11391055.98,11339580.43,612242.37,9265422.73,32608301.51,1.31,2017,Jul,2017-07
2017-07-16,11155465.9,11202844.97,756103.12,9340633.12,32455047.11,1.33,2017,Jul,2017-07
2017-07-09,13009944.14,11031218.25,821964.42,14504209.37,39367336.18,1.17,2017,Jul,2017-07
2017-07-02,12623188.5,10988734.57,859889.81,13538613.28,38010426.16,1.21,2017,Jul,2017-07
2017-06-25,12901031.63,10805961.74,655965.98,12942348.33,37305307.68,1.17,2017,Jun,2017-06
2017-06-18,12975373.48,11199448.6,807107.21,13265740.04,38247669.33,1.18,2017,Jun,2017-06
2017-06-11,13490545.5,10090861.46,648410.9,12810035.94,37039853.8,1.21,2017,Jun,2017-06
2017-06-04,13248334.78,10157565.24,667066.51,13279394.06,37352360.59,1.24,2017,Jun,2017-06
2017-05-28,12841952.21,10932970.72,673384.78,12582586.02,37030893.73,1.28,2017,May,2017-05
2017-05-21,12120948.7,10213231.95,621603.57,11441866.93,34397651.15,1.26,2017,May,2017-05
2017-05-14,12807836.17,9717257.8,652973.26,13456201.8,36634269.03,1.19,2017,May,2017-05
2017-05-07,17076650.82,13549102.59,863471.88,15804696.31,47293921.6,1.09,2017,May,2017-05
2017-04-30,13316594.36,11291149.13,667996.83,13039760.11,38315500.43,1.18,2017,Apr,2017-04
2017-04-23,12236713.41,10224484.11,613507.38,12654309.02,35729013.92,1.18,2017,Apr,2017-04
2017-04-16,12311055.17,10069354.29,650017.26,12151894.06,35182320.78,1.23,2017,Apr,2017-04
2017-04-09,12091315.22,10821096.24,647969.03,11225332.06,34785712.55,1.21,2017,Apr,2017-04
2017-04-02,12245520.55,9733584.68,624709.69,11864202.44,34468017.36,1.21,2017,Apr,2017-04
2017-03-26,11737559.6,9664310.82,611105.54,10542143.36,32555119.32,1.24,2017,Mar,2017-03
2017-03-19,10975689.78,9622711.73,638217.85,10358505.87,31595125.23,1.25,2017,Mar,2017-03
2017-03-12,11228357.23,9575227.17,727233.05,10489756.49,32020573.94,1.22,2017,Mar,2017-03
2017-03-05,11335275.58,10807889.59,795173.2,10745836.64,33684175.01,1.13,2017,Mar,2017-03
2017-02-26,13173668.36,11398142.68,896761.77,11539224.88,37007797.69,0.99,2017,Feb,2017-02
2017-02-19,11321732.4,10351148.2,832906.12,11400067.86,33905854.58,0.99,2017,Feb,2017-02
2017-02-12,15051951.54,12184188.37,862322.15,12979008.59,41077470.65,0.87,2017,Feb,2017-02
2017-02-05,22743616.17,20328161.55,1664383.09,16298296.29,61034457.1,0.77,2017,Feb,2017-02
2017-01-29,14034075.77,11683464.54,818727.02,12837311.92,39373579.25,0.96,2017,Jan,2017-01
2017-01-22,14254150.46,14212881.66,908616.41,12764744.86,42140393.39,0.94,2017,Jan,2017-01
2017-01-15,12936858.36,12625665.39,579346.52,12153618.04,38295488.31,0.98,2017,Jan,2017-01
2017-01-08,11809727.7,13856934.7,539068.39,11844071.83,38049802.62,0.99,2017,Jan,2017-01
2017-01-01,12707894.99,14201200.68,549844.57,11420776.61,38879716.85,0.89,2017,Jan,2017-01
2018-05-20,15391298.2,12092088.69,736111.95,16239299.46,44458798.3,1.02,2018,May,2018-05
2018-05-13,15432480.06,12367251.74,759855.73,17811658.31,46371245.84,1,2018,May,2018-05
2018-05-06,21137400.46,19900871.87,1052499.15,21625372.67,63716144.15,0.89,2018,May,2018-05
2018-04-29,14254036.95,13240108.54,744030.09,15618583.41,43856758.99,1.07,2018,Apr,2018-04
2018-04-22,14522577.86,12709402.97,722558.85,16359439.62,44313979.3,1.04,2018,Apr,2018-04
2018-04-15,15307339.31,13807126.47,894946.43,17089265.47,47098677.68,1.03,2018,Apr,2018-04
2018-04-08,13410251.75,13040703.22,737515.63,15775597.08,42964067.68,1.04,2018,Apr,2018-04
2018-04-01,13467728.25,10744041.46,732443.87,16165475.14,41109688.72,1.1,2018,Apr,2018-04
2018-03-25,14130799.1,12125711.42,758801.12,16394524.11,43409835.75,1.03,2018,Mar,2018-03
2018-03-18,13707389.51,11061051.69,645380.85,15972492.07,41386314.12,1.05,2018,Mar,2018-03
2018-03-11,14089091.05,10758039.45,707578.82,14894893.8,40449603.12,1.09,2018,Mar,2018-03
2018-03-04,14439547.46,11289307.37,571747.72,14440611.5,40741214.05,1.07,2018,Mar,2018-03
2018-02-25,13829857.87,10415463.59,724330.16,15051877.14,40021528.76,1.06,2018,Feb,2018-02
2018-02-18,13262751.42,10491918.44,552969.73,12402247.9,36709887.49,1.08,2018,Feb,2018-02
2018-02-11,15870677.7,11541844.87,652856.58,15102426.94,43167806.09,0.97,2018,Feb,2018-02
2018-02-04,21620180.9,20445501.03,1066830.22,19373134.37,62505646.52,0.87,2018,Feb,2018-02
2018-01-28,14551799.5,12119884.61,575974.74,12923981.99,40171640.84,1.09,2018,Jan,2018-01
2018-01-21,14218843.83,13929702.12,928815.12,13862460.48,42939821.55,1.08,2018,Jan,2018-01
2018-01-14,12600918.24,11866197.84,652808.4,12180020.74,37299945.22,1.2,2018,Jan,2018-01
2018-01-07,13730992.75,10781339.21,677714.86,11513109.9,36703156.72,1.13,2018,Jan,2018-01
